ID,Ns.SNP,Xs.SNP,prop.SNP,Ns.WGS,Xs.WGS,prop.WGS
J0272813_1704,0,36,0,NA,NA,NA
J0272813_1705,0,1,0,54,238,0.00197520026336004
J0272815_1611,0,1,0,33,749,0.00123005814820337
J0272815_1701,0,0,0,61,98,0.00221987699697951
J0272815_1702,0,4,0,22,1466,0.000842556776837348
J0272815_1703,0,0,0,53,412,0.00195103994110068
J0272815_1704,13,33,0.232142857142857,NA,NA,NA
J0272815_1705,2,32,0.0350877192982456,NA,NA,NA
J0282915_1511,0,52,0,34,20137,0.00456989247311828
J0282916_1701,12,1,0.136363636363636,1689,281,0.0618771981242673
J0282916_1702,0,0,0,80,156,0.0029174720105029
J0282916_1703,0,13,0,222,6967,0.0107714701601164
J0282916_1704,0,35,0,NA,NA,NA
J0282916_1705,0,23,0,18,15519,0.00149278487311329
K0010101_1611,0,1,0,13,727,0.000484171322160149
K0010105_1412,17,13,0.223684210526316,NA,NA,NA
K0010105_1504,0,12,0,NA,NA,NA
K0010105_1506,0,5,0,285,3849,0.0120111260957519
K0010105_1607,0,48,0,NA,NA,NA
K0020203_1511,0,29,0,NA,NA,NA
K0020204_1512,0,10,0,NA,NA,NA
K0022008_1512,14,1,0.159090909090909,1473,210,0.0538239485511748
K0030301_1504,1,3,0.0116279069767442,261,5906,0.0120437450971344
K0030302_1511,0,14,0,NA,NA,NA
K0030302_1512,0,6,0,35,6753,0.00168075297733385
K0030302_1610,0,0,0,14,649,0.000519904931669638
K0030302_1611,14,1,0.159090909090909,2174,923,0.0815637427778195
K0030302_1612,0,57,0,NA,NA,NA
K0030303_1511,0,12,0,NA,NA,NA
K0030303_1512,14,1,0.159090909090909,1683,350,0.061813640871194
K0030303_1603,12,9,0.15,NA,NA,NA
K0030303_1605,1,2,0.0114942528735632,538,79,0.0195650592770383
K0030303_1607,0,39,0,NA,NA,NA
K0030303_1612,0,0,0,26,117,0.000946831755280408
K0030305_1511,0,48,0,NA,NA,NA
K0050502_1512,1,32,0.0175438596491228,119,19201,0.014207258834766
K0050508_1603,0,18,0,NA,NA,NA
K0050512_1611,0,0,0,20,65,0.000726955510322768
K0050516_1511,0,19,0,NA,NA,NA
K0060609_1511,3,22,0.0447761194029851,NA,NA,NA
K0060609_1605,0,37,0,NA,NA,NA
K0060614_1511,0,12,0,NA,NA,NA
K0060617_1511,11,16,0.150684931506849,NA,NA,NA
K0060617_1512,25,0,0.280898876404494,3158,116,0.114999453770802
K0060617_1603,0,26,0,48,9492,0.00265413325960741
K0060617_1605,23,13,0.302631578947368,NA,NA,NA
K0060617_1607,0,40,0,NA,NA,NA
K0070713_1610,0,53,0,NA,NA,NA
K0070714_1611,0,1,0,65,189,0.00237330217613553
K0080809_1612,0,44,0,NA,NA,NA
K0080809_1702,0,31,0,122,16169,0.0106942496493689
K0090903_1511,8,17,0.111111111111111,NA,NA,NA
K0090903_1512,6,0,0.0674157303370786,937,361,0.034428277483833
K0090903_1603,10,9,0.125,NA,NA,NA
K0090903_1605,0,0,0,43,51,0.0015621594129187
K0090903_1607,0,44,0,NA,NA,NA
K0090903_1610,0,31,0,NA,NA,NA
K0090905_1607,0,54,0,NA,NA,NA
K0090906_1504,22,7,0.268292682926829,NA,NA,NA
K0090906_1506,0,51,0,NA,NA,NA
K0101005_1512,0,0,0,54,100,0.00196528005240747
K0101005_1701,NA,NA,NA,35,21982,0.00625558534405719
K0101005_1702,0,50,0,NA,NA,NA
K0101007_1412,1,2,0.0114942528735632,75,1366,0.00286139407119148
K0111111_1611,0,0,0,34,55,0.00123537533609476
K0141403_1504,0,0,0,13,492,0.000479970463356101
K0141403_1506,0,8,0,NA,NA,NA
K0141403_1511,0,14,0,0,15644,0
K0141403_1512,0,10,0,NA,NA,NA
K0141404_1511,5,18,0.0704225352112676,NA,NA,NA
K0151503_1412,14,8,0.172839506172839,NA,NA,NA
K0151508_1612,0,49,0,NA,NA,NA
K0151509_1610,0,48,0,NA,NA,NA
K0151511_1610,0,37,0,NA,NA,NA
K0151512_1412,0,48,0,NA,NA,NA
K0161621_1506,0,41,0,10,20275,0.00136948781155848
K0171707_1412,19,13,0.25,NA,NA,NA
K0171716_1612,0,0,0,30,128,0.00109293599038216
K0171716_1701,0,0,0,20,343,0.00073437614746273
K0171716_1702,0,17,0,21,7477,0.00104477611940298
K0171716_1703,0,30,0,6,11719,0.000378357926598562
K0171719_1701,0,32,0,56,21782,0.00966350301984469
K0171719_1705,11,37,0.211538461538462,NA,NA,NA
K0171722_1512,0,1,0,181,259,0.0066256680576909
K0171723_1412,11,29,0.183333333333333,NA,NA,NA
K0171724_1611,0,56,0,NA,NA,NA
K0171728_1512,0,0,0,192,433,0.00707338638373121
K0171728_1605,0,12,0,NA,NA,NA
K0171730_1603,4,25,0.0625,NA,NA,NA
K0171732_1511,0,26,0,NA,NA,NA
K0171732_1512,0,0,0,40,226,0.00146246937954737
K0171732_1612,0,33,0,NA,NA,NA
K0171738_1412,0,1,0,28,458,0.00103248644861536
K0171742_1612,4,38,0.0784313725490196,NA,NA,NA
K0171742_1701,0,41,0,NA,NA,NA
K0181809_1512,1,1,0.0113636363636364,142,115,0.00517078144344913
K0181810_1412,15,18,0.211267605633803,NA,NA,NA
K0181810_1612,0,34,0,NA,NA,NA
K0181810_1705,1,6,0.0120481927710843,198,2064,0.00776074942186336
K0191907_1511,5,49,0.125,NA,NA,NA
K0202002_1512,0,0,0,45,34,0.00163380895327306
K0202008_1605,0,28,0,NA,NA,NA
K0212102_1512,0,16,0,NA,NA,NA
K0212109_1504,0,26,0,NA,NA,NA
K0212109_1506,0,12,0,NA,NA,NA
K0212110_1512,0,0,0,46,105,0.00167443214909726
K0212205_1603,0,41,0,NA,NA,NA
K0222204_1506,5,39,0.1,NA,NA,NA
K0222208_1611,0,0,0,34,140,0.00123920253672049
K0222213_1612,0,33,0,5,16970,0.000471386820024512
K0222213_1701,1,27,0.0161290322580645,156,15048,0.0124511134168729
K0222213_1702,3,53,0.0833333333333333,NA,NA,NA
K0222213_1705,6,35,0.111111111111111,NA,NA,NA
K0222315_1511,0,35,0,NA,NA,NA
K0232412_1612,0,36,0,NA,NA,NA
K0232412_1701,0,11,0,19,5117,0.000845948352626892
K0232412_1703,0,29,0,NA,NA,NA
K0232412_1704,4,36,0.0754716981132075,NA,NA,NA
K0232412_1705,0,35,0,NA,NA,NA
K0242508_1412,5,48,0.121951219512195,NA,NA,NA
K0242508_1512,0,13,0,NA,NA,NA
K0242508_1605,4,14,0.0533333333333333,NA,NA,NA
K0242508_1607,0,43,0,NA,NA,NA
K0242512_1607,0,57,0,NA,NA,NA
K0242515_1412,0,59,0,NA,NA,NA
K0252706_1506,5,44,0.111111111111111,NA,NA,NA
K0252713_1512,3,18,0.0422535211267606,991,1807,0.0384555684904928
K0252717_1511,0,14,0,NA,NA,NA
K0252717_1512,0,4,0,14,1998,0.000547323976699636
K0252724_1412,5,52,0.135135135135135,NA,NA,NA
K0252808_1611,1,15,0.0135135135135135,268,8872,0.0143277198609997
K0252808_1701,0,1,0,72,845,0.00269340116714051
K0252808_1702,0,49,0,NA,NA,NA
K0262902_1511,0,0,0,34,34,0.00123443343136187
K0262913_1611,8,5,0.0952380952380952,659,1434,0.025207512527254
K0262922_1612,0,0,0,23,186,0.000839691869592202
K0262922_1701,6,35,0.111111111111111,NA,NA,NA
K0262922_1702,0,29,0,NA,NA,NA
K0262922_1703,0,32,0,NA,NA,NA
